Enter start page: Enter end page: 0
1
Contour #4932: Unicode expected: U+0076, Position: (3467, 5293) y//120: 44
Contour #4933: Unicode expected: U+0077, Position: (3919, 5292) y//120: 44
Contour #4934: Unicode expected: U+0078, Position: (4375, 5290) y//120: 44
Contour #5776: Unicode expected: U+0079, Position: (280, 5865) y//120: 48
Contour #5777: Unicode expected: U+007A, Position: (732, 5867) y//120: 48
Contour #5778: Unicode expected: U+007B, Position: (1187, 5868) y//120: 48
Contour #5779: Unicode expected: U+007C, Position: (1641, 5869) y//120: 48
Contour #5780: Unicode expected: U+007D, Position: (2095, 5870) y//120: 48
Contour #5781: Unicode expected: U+007E, Position: (2552, 5870) y//120: 48
Contour #5782: Unicode expected: U+00A1, Position: (3009, 5870) y//120: 48
Contour #5783: Unicode expected: U+00A2, Position: (3464, 5871) y//120: 48
Contour #5784: Unicode expected: U+00A3, Position: (3915, 5871) y//120: 48
Contour #5785: Unicode expected: U+00A4, Position: (4372, 5869) y//120: 48
2
Contour #320: Unicode expected: U+00A5, Position: (300, 572) y//120: 4
Contour #329: Unicode expected: U+00A6, Position: (752, 575) y//120: 4
Contour #330: Unicode expected: U+00A7, Position: (1207, 577) y//120: 4
Contour #331: Unicode expected: U+00A8, Position: (1659, 579) y//120: 4
Contour #332: Unicode expected: U+00A9, Position: (2112, 582) y//120: 4
Contour #333: Unicode expected: U+00AA, Position: (2565, 583) y//120: 4
Contour #334: Unicode expected: U+00AB, Position: (3017, 585) y//120: 4
Contour #335: Unicode expected: U+00AC, Position: (3474, 587) y//120: 4
Contour #336: Unicode expected: U+00AD, Position: (3925, 588) y//120: 4
Contour #337: Unicode expected: U+00AE, Position: (4380, 590) y//120: 4
Contour #1206: Unicode expected: U+00AF, Position: (296, 1166) y//120: 9
Contour #1220: Unicode expected: U+00B0, Position: (749, 1169) y//120: 9
Contour #1222: Unicode expected: U+00B1, Position: (1203, 1172) y//120: 9
Contour #1223: Unicode expected: U+00B2, Position: (1656, 1175) y//120: 9
Contour #1224: Unicode expected: U+00B3, Position: (2110, 1178) y//120: 9
Contour #1225: Unicode expected: U+00B4, Position: (2565, 1180) y//120: 9
Contour #1226: Unicode expected: U+00B5, Position: (3017, 1182) y//120: 9
Contour #1227: Unicode expected: U+00B6, Position: (3472, 1183) y//120: 9
Contour #1228: Unicode expected: U+00B7, Position: (3924, 1184) y//120: 9
Contour #1229: Unicode expected: U+00B8, Position: (4378, 1185) y//120: 9
Contour #1471: Unicode expected: U+00B9, Position: (293, 1761) y//120: 14
Contour #1485: Unicode expected: U+00BA, Position: (746, 1764) y//120: 14
Contour #1486: Unicode expected: U+00BB, Position: (1199, 1766) y//120: 14
Contour #1487: Unicode expected: U+00BC, Position: (1653, 1769) y//120: 14
Contour #1488: Unicode expected: U+00BD, Position: (2106, 1771) y//120: 14
Contour #1489: Unicode expected: U+00BE, Position: (2562, 1773) y//120: 14
Contour #1490: Unicode expected: U+00BF, Position: (3015, 1775) y//120: 14
Contour #1491: Unicode expected: U+00C0, Position: (3470, 1775) y//120: 14
Contour #1492: Unicode expected: U+00C1, Position: (3922, 1776) y//120: 14
